VERB_lemma	VERB_lexical	Prep_lemma	Prep_lexical	PP_head_lemma	PP_head_lexical	PP_head_POS
come	came	to	to	light	light	NOUN
deteriorate	deteriorated	during	during	year	years	NOUN
operate	operating	between	between	Asia	Asia	PROPN
provide	providing	to	to	national	nationals	NOUN
operate	operating	in	in	India	India	PROPN
carry	carried	by	by	government	government	NOUN
report	reported	in	in	Asiaweek	Asiaweek	PROPN
leave	left	in	in	February	February	PROPN
change	changed	at	at	sea	sea	NOUN
intercept	intercepted	by	by	vessel	vessels	NOUN
construct	constructing	in	in	shipyard	shipyard	NOUN
transport	transported	by	by	land	land	NOUN
stretch	Stretching	from	from	end	end	NOUN
suffer	suffered	from	from	interference	interference	NOUN
focus	focused	on	on	threat	threat	NOUN
kill	killed	in	in	region	region	NOUN
pose	posing	on	on	border	borders	NOUN
drink	drinking	like	like	fish	fish	NOUN
kill	killing	on	on	scale	scale	NOUN
appear	appeared	on	on	Things	Things	PROPN
suffer	suffer	through	through	Bush	Bush	PROPN
fulfil	fulfilled	as	as	lieutenant	lieutenant	NOUN
come	came	to	to	Montgomery	Montgomery	PROPN
talk	talk	to	to	Mr.	Mr.	PROPN
rent	rented	in	in	disrepair	disrepair	NOUN
blast	blasted	by	by	UN	UN	PROPN
sink	sinks	like	like	other	others	NOUN
be	was	in	in	office	office	NOUN
exist	existed	in	in	US	US	PROPN
separate	separated	from	from	Mormonism	Mormonism	PROPN
charge	charged	in	in	Utah	Utah	PROPN
talk	talked	in	in	term	terms	NOUN
create	create	in	in	Iran	Iran	PROPN
die	died	in	in	2004	2004	NUM
jump	jumping	into	into	fray	fray	NOUN
find	found	in	in	storage	storage	NOUN
give	given	by	by	gentleman	gentleman	NOUN
deliver	delivered	by	by	Haim	Haim	PROPN
live	lived	in	in	region	region	NOUN
touch	touch	upon	upon	it	it	PRON
refer	refer	to	to	it	it	PRON
die	died	from	from	murder	murders	NOUN
show	shown	on	on	television	television	NOUN
be	are	in	in	world	world	NOUN
arrive	arrive	in	in	Europe	Europe	PROPN
condemn	condemn	in	in	English	English	PROPN
define	defined	by	by	press	press	NOUN
refer	refer	to	to	fan	fans	NOUN
walk	walks	into	into	restaurant	restaurant	NOUN
live	lives	in	in	Paris	Paris	PROPN
receive	receives	per	per	month	month	NOUN
move	moves	from	from	location	location	NOUN
leave	leave	to	to	you	you	PRON
encircle	encircled	by	by	Afghanistan	Afghanistan	PROPN
react	react	with	with	measure	measures	NOUN
isolate	isolated	by	by	Lab	Lab	PROPN
send	sent	in	in	January	January	PROPN
confiscate	confiscated	from	from	he	him	PRON
describe	described	by	by	confidante	confidante	NOUN
isolate	isolated	by	by	Lab	Lab	PROPN
have	had	on	on	laptop	laptop	NOUN
purchase	purchased	by	by	Bin	Bin	PROPN
know	known	of	of	plan	plans	NOUN
narrow	narrowed	from	from	16	16	NUM
point	point	to	to	concentration	concentration	NOUN
tell	told	in	in	detail	detail	NOUN
meet	met	with	with	plotter	plotters	NOUN
stay	stayed	at	at	condominium	condominium	NOUN
travel	traveling	near	near	Kabul	Kabul	PROPN
arrest	arrested	in	in	December	December	PROPN
spot	spotted	at	at	airport	airport	NOUN
leave	left	in	in	minicab	minicab	NOUN
be	was	on	on	way	way	NOUN
foist	foisted	upon	upon	US	US	PROPN
target	targeted	in	in	addition	addition	NOUN
contain	contained	in	in	letter	letter	NOUN
send	sent	in	in	January	January	PROPN
capture	captured	in	in	Quetta	Quetta	PROPN
send	sent	in	in	2002	2002	NUM
go	go	to	to	paradise	paradise	NOUN
use	used	as	as	word	word	NOUN
delay	delay	from	from	proceeding	proceeding	NOUN
take	taking	in	in	Sydney	Sydney	PROPN
work	working	from	from	office	office	NOUN
make	made	at	at	House	House	PROPN
make	made	at	at	House	House	PROPN
send	sent	to	to	you	you	PRON
look	look	into	into	that	that	PRON
rate	rated	as	as	satisfactory	satisfactory	ADJ
create	created	in	in	2000	2000	NUM
bite	bite	on	on	backside	backside	NOUN
bite	bite	on	on	backside	backside	NOUN
perform	performed	on	on	basis	basis	NOUN
have	have	on	on	weekend	weekend	NOUN
circulate	circulated	for	for	comment	comments	NOUN
participate	participate	at	at	hearing	hearing	NOUN
purchase	purchasing	on	on	May	May	PROPN
purchase	purchasing	on	on	May	May	PROPN
transmit	transmitted	with	with	it	it	PRON
make	make	at	at	desk	desk	NOUN
take	take	to	to	Ed	Ed	PROPN
take	taking	at	at	bottom	bottom	NOUN
deliver	deliver	to	to	you	you	PRON
get	get	in	in	touch	touch	NOUN
see	see	in	in	lobby	lobby	NOUN
get	get	at	at	am	am	NOUN
spend	spend	at	at	prc	PRC	NOUN
work	work	on	on	electricity	electricity	NOUN
say	say	in	in	report	report	NOUN
transmit	transmitted	to	to	ENA	ENA	PROPN
transmit	transmitted	to	to	ENA	ENA	PROPN
speak	speak	with	with	you	you	PRON
submit	submitted	by	by	counterparty	Counterparty	NOUN
submit	submitted	by	by	counterparty	Counterparty	NOUN
set	set	in	in	description	description	NOUN
set	set	in	in	description	description	NOUN
move	moving	from	from	Aires	Aires	PROPN
talk	talk	to	to	many	many	ADJ
meet	meet	with	with	we	us	PRON
host	hosting	on	on	Wed.	Wed.	PROPN
make	made	in	in	Texas	Texas	PROPN
visit	visit	with	with	you	you	PRON
accept	accepted	by	by	Development	Development	PROPN
arise	arising	in	in	way	way	NOUN
plant	plant	by	by	Friday	Friday	PROPN
lay	lay	in	in	pasture	pasture	NOUN
get	get	to	to	they	them	PRON
bring	bring	to	to	you	you	PRON
talk	talk	to	to	people	people	NOUN
work	working	on	on	that	that	PRON
speak	spoke	to	to	Mark	Mark	PROPN
sign	signed	by	by	officer	officer	NOUN
hear	heard	from	from	you	you	PRON
go	going	to	to	China	China	PROPN
manage	managed	on	on	occasion	occasions	NOUN
run	ran	into	into	Corey	Corey	PROPN
drive	driven	with	with	you	you	PRON
perform	performing	down	down	street	street	NOUN
meet	meet	with	with	one	one	NUM
hear	heard	about	about	it	it	PRON
drive	Drive	to	to	St.	St.	PROPN
send	send	to	to	he	him	PRON
receive	received	from	from	Inc.	Inc.	PROPN
put	putting	on	on	machine	machine	NOUN
get	got	of	of	phone	phone	NOUN
make	make	on	on	basis	basis	NOUN
get	got	of	of	phone	phone	NOUN
make	make	on	on	basis	basis	NOUN
have	have	on	on	Fri	Fri	PROPN
respond	responded	to	to	I	me	PRON
propose	propose	to	to	tau	TAU	NOUN
host	hosting	on	on	Thursday	Thursday	PROPN
range	range	from	from	$	$	SYM
have	had	on	on	Friday	Friday	PROPN
follow	following	with	with	Sue	Sue	PROPN
speak	speaking	on	on	Thursday	Thursday	PROPN
ship	shipped	via	via	mail	mail	NOUN
distribute	distributed	to	to	team	team	NOUN
base	based	on	on	ideology	ideology	NOUN
incorporate	incorporates	as	as	suffix	suffix	NOUN
respond	respond	to	to	I	me	PRON
talk	talk	to	to	you	you	PRON
misstate	misstated	due	due	issue	issues	NOUN
provide	provided	to	to	aa	AA	NOUN
provide	provide	to	to	management	management	NOUN
track	tracking	to	to	component	components	NOUN
excel	excel	with	with	work	work	NOUN
talk	talk	about	about	energy	energy	NOUN
talk	talk	about	about	energy	energy	NOUN
work	work	in	in	faith	faith	NOUN
result	resulted	in	in	cost	cost	NOUN
forward	forward	to	to	accounting	accounting	NOUN
forward	forward	to	to	accounting	accounting	NOUN
bring	bring	with	with	Sommer	Sommer	PROPN
hold	held	on	on	Wednesday	Wednesday	PROPN
join	join	with	with	member	members	NOUN
go	went	with	with	Ursula	Ursula	PROPN
play	played	in	in	ERCOT	ERCOT	PROPN
discuss	discuss	with	with	you	you	PRON
stop	stop	by	by	office	office	NOUN
visit	visit	with	with	you	you	PRON
establish	established	with	with	location	locations	NOUN
approve	approve	in	in	Datamanager	Datamanager	PROPN
submit	submitted	by	by	counterparty	Counterparty	NOUN
click	click	on	on	+	+	SYM
click	click	on	on	+	+	SYM
set	set	in	in	system	System	NOUN
break	broken	for	for	legal	Legal	ADJ
work	work	with	with	you	you	PRON
forward	forward	to	to	each	each	DET
allocate	allocate	at	at	meeting	meeting	NOUN
speak	spoke	with	with	Per	Per	PROPN
work	work	with	with	School	School	PROPN
come	come	to	to	b	b	NOUN
exist	exist	in	in	form	form	NOUN
schedule	scheduled	at	at	headquarters	headquarters	NOUN
provide	provide	in	in	version	version	NOUN
address	address	on	on	issue	issue	NOUN
forward	forwarded	to	to	I	me	PRON
forward	forwarded	to	to	I	me	PRON
give	give	at	at	refinery	refinery	NOUN
seem	seems	like	like	decision	decision	NOUN
take	take	of	of	this	this	PRON
take	take	of	of	this	this	PRON
fit	fit	with	with	language	language	NOUN
have	have	in	in	place	place	NOUN
send	send	to	to	you	you	PRON
talk	talk	with	with	you	you	PRON
refer	refers	to	to	publication	publication	NOUN
forward	forward	to	to	you	you	PRON
have	have	with	with	we	us	PRON
forward	forward	to	to	you	you	PRON
depart	departing	on	on	Friday	Friday	PROPN
go	go	in	in	2002	2002	NUM
acquire	acquiring	from	from	PGE	PGE	PROPN
work	worked	with	with	Daniels	Daniels	PROPN
have	have	with	with	we	us	PRON
pay	pay	at	at	time	time	NOUN
ask	asking	about	about	haircut	haircuts	NOUN
sell	sell	in	in	California	California	PROPN
spend	spent	on	on	Power	Power	PROPN
address	Address	to	to	Robin	Robin	PROPN
send	sent	to	to	you	you	PRON
meet	meet	with	with	group	group	NOUN
take	take	in	in	court	court	NOUN
hide	hiding	behind	behind	childcare	childcare	NOUN
think	Think	of	of	life	life	NOUN
live	live	in	in	harmony	harmony	NOUN
work	working	from	from	home	home	NOUN
invent	invented	in	in	1978	1978	NUM
award	awarded	for	for	bravery	bravery	NOUN
fight	fighting	with	with	knife	knife	NOUN
access	accessing	via	via	web	web	NOUN
establish	established	in	in	1997	1997	NUM
extend	extend	to	to	each	each	DET
know	know	of	of	you	you	PRON
re-secure	re-secured	in	in	1991	1991	NUM
reply	reply	in	in	confidence	confidence	NOUN
answer	Answered	by	By	ga	ga	PROPN
add	added	for	for	NASA	NASA	PROPN
reduce	reduces	by	by	$	$	SYM
go	go	to	to	NEA	NEA	PROPN
spend	spending	on	on	exploration	exploration	NOUN
do	done	in	in	way	way	NOUN
thank	Thank	in	in	advance	advance	NOUN
fly	fly	to	to	York	York	PROPN
compete	competing	in	in	Contest	Contest	PROPN
stop	stopped	by	by	America	America	PROPN
put	put	to	to	error	error	NOUN
impose	impose	on	on	Sudan	Sudan	PROPN
expand	expanded	by	by	average	average	NOUN
lead	leading	to	to	cut	cuts	NOUN
drill	drilling	for	for	gas	gas	NOUN
withdraw	withdrawing	from	from	world	world	NOUN
bring	bring	with	with	you	you	PRON
sit	sitting	in	in	peace	peace	NOUN
translate	translate	from	from	Sanskrit	Sanskrit	PROPN
think	Think	by	by	word	words	NOUN
email	email	to	to	NCRC4ME	NCRC4ME	PROPN
grow	grow	in	in	capacity	capacity	NOUN
stand	stand	for	for	justice	justice	NOUN
continue	continue	in	in	many	many	ADJ
graduate	graduated	in	in	class	class	NOUN
give	given	by	by	constitution	Constitution	NOUN
use	used	by	by	NASA	NASA	PROPN
get	get	by	by	2018	2018	NUM
hurtle	hurtling	into	into	orbit	orbit	NOUN
identify	identified	as	as	Fei	Fei	PROPN
beat	beat	to	to	moon	moon	NOUN
thwart	thwarted	for	for	decade	decade	NOUN
reach	reach	with	with	astronaut	astronauts	NOUN
circle	circle	with	with	astronaut	astronauts	NOUN
circle	circling	with	with	crew	crew	NOUN
get	get	in	in	line	line	NOUN
heat	heat	to	to	degree	degrees	NOUN
appear	appear	before	before	God	God	PROPN
scrape	scraped	from	from	genitals	genitals	NOUN
reimburse	reimbursed	for	for	participation	participation	NOUN
kill	killed	in	in	Park	Park	PROPN
reduce	reduce	from	from	endangered	endangered	NOUN
find	found	on	on	highway	highway	NOUN
publish	published	in	in	Proceedings	Proceedings	PROPN
catch	caught	in	in	snowstorm	snowstorm	NOUN
increase	increased	to	to	degree	degrees	NOUN
decline	decline	by	by	percent	percent	NOUN
sow	sown	through	through	year	years	NOUN
travel	traveling	for	for	business	business	NOUN
look	looking	around	around	workplace	workplace	NOUN
flow	flow	with	with	tide	tide	NOUN
come	comes	before	before	work	work	NOUN
be	were	in	in	England	England	PROPN
hang	hung	on	on	June	June	PROPN
translate	translated	into	into	Italian	Italian	PROPN
look	look	in	in	light	light	NOUN
spread	spreading	from	from	water	waters	NOUN
destroy	destroyed	by	by	God	God	PROPN
die	died	from	from	haemorrhage	haemorrhage	NOUN
speak	spoke	from	from	John	John	PROPN
act	acted	through	through	puppet	puppets	NOUN
make	make	with	with	Yoko	Yoko	PROPN
give	given	by	by	GOD	GOD	PROPN
delude	deluded	in	in	trip	trip	NOUN
use	used	for	for	end	ends	NOUN
feel	felt	as	as	man	man	NOUN
sing	sings	in	in	front	front	NOUN
know	known	by	by	people	people	NOUN
kick	kicked	in	in	studio	studios	NOUN
go	going	for	for	Paul	Paul	PROPN
refer	refers	to	to	he	him	PRON
make	made	by	by	industry	industry	NOUN
disguise	disguise	as	as	good	good	ADJ
begin	began	from	from	Island	Island	PROPN
execute	executed	through	through	marionette	marionettes	NOUN
face	face	in	in	Iraq	Iraq	PROPN
issue	issued	by	by	Center	Center	PROPN
rip	ripped	to	to	shred	shreds	NOUN
deploy	deployed	in	in	Gulf	Gulf	PROPN
retaliate	retaliate	in	in	gulf	Gulf	NOUN
purchase	purchase	from	from	Iran	Iran	PROPN
receive	receive	per	per	day	day	NOUN
run	running	from	from	Kazakhstan	Kazakhstan	PROPN
perceive	perceived	by	by	China	China	PROPN
add	added	to	to	list	list	NOUN
devote	devoted	to	to	warming	warming	NOUN
reduce	reduce	by	by	cent	cent	NOUN
increase	increase	over	over	year	years	NOUN
receive	received	in	in	contribution	contributions	NOUN
announce	announced	by	by	Bush	Bush	PROPN
evacuate	evacuated	from	from	States	States	PROPN
fire	fired	by	by	army	army	NOUN
offer	offered	in	in	2000	2000	NUM
serve	serving	in	in	uniform	uniform	NOUN
make	made	by	by	official	officials	NOUN
project	projected	by	by	House	House	PROPN
equip	equipped	with	with	armour	armour	NOUN
allocate	allocated	per	per	person	person	NOUN
allocate	allocated	per	per	person	person	NOUN
allocate	allocated	per	per	person	person	NOUN
allocate	allocated	per	per	person	person	NOUN
survey	surveyed	by	by	Conference	Conference	PROPN
receive	receive	in	in	assistance	assistance	NOUN
arrive	arrive	in	in	States	States	PROPN
allocate	allocated	for	for	security	security	NOUN
budget	budgeted	for	for	security	security	NOUN
receive	received	in	in	2003	2003	NUM
save	save	on	on	tax	taxes	NOUN
save	saved	in	in	tax	taxes	NOUN
earn	earned	from	from	profit	profits	NOUN
monitor	monitored	by	by	psychiatrist	psychiatrists	NOUN
spend	spent	on	on	aid	aid	NOUN
spend	spent	on	on	aid	aid	NOUN
approve	approved	of	of	way	way	NOUN
approve	approved	of	of	way	way	NOUN
approve	approved	of	of	way	way	NOUN
approve	approved	of	of	way	way	NOUN
approve	approved	of	of	way	way	NOUN
spend	spent	at	at	ranch	ranch	NOUN
raise	raised	by	by	campaign	campaign	NOUN
raise	raised	for	for	Cheney	Cheney	PROPN
vote	voted	for	for	Bush	Bush	PROPN
vote	voted	for	for	Bush	Bush	PROPN
live	living	in	in	Limerick	Limerick	PROPN
live	live	in	in	Limerick	Limerick	PROPN
see	see	in	in	distance	distance	NOUN
lope	Lope	to	to	left	left	NOUN
train	trained	to	to	harness	harness	NOUN
make	Making	on	On	wheel	Wheel	NOUN
graduate	graduated	from	from	high	high	ADJ
go	go	to	to	church	church	NOUN
show	show	in	in	window	windows	NOUN
look	looking	from	from	menu	menu	NOUN
look	looked	at	at	gallery	galleries	NOUN
suffer	suffer	from	from	problem	problems	NOUN
get	get	to	to	airport	airport	PROPN
run	runs	from	from	CDG	CDG	PROPN
stay	Stay	on	on	it	it	PRON
drop	drops	near	near	Opera	Opera	PROPN
stay	Stay	on	on	bus	bus	NOUN
get	Get	in	in	Metro	Metro	PROPN
take	Take	toward	toward	Balard	Balard	PROPN
go	go	to	to	thailand	thailand	PROPN
pop	pop	for	for	they	them	PRON
gallop	galloping	in	in	space	space	NOUN
build	built	into	into	receiver	receiver	NOUN
go	go	in	in	nest	nest	NOUN
stay	stay	with	with	he	him	PRON
text	text	from	from	Canada	Canada	PROPN
shift	shift	to	to	Fujairah	Fujairah	PROPN
go	go	to	to	Dubai	Dubai	PROPN
resort	resort	to	to	violence	violence	NOUN
put	put	over	overt	it	it	PRON
launch	launch	into	into	water	water	NOUN
do	do	in	in	part	parts	NOUN
send	sent	to	to	sea	SEA	NOUN
go	going	to	to	Zealand	Zealand	PROPN
holiday	holiday	in	in	Christchurch	Christchurch	PROPN
go	go	to	to	Rotarua	Rotarua	PROPN
go	going	to	to	Christchurch	Christchurch	PROPN
get	get	to	to	area	area	NOUN
live	live	in	in	London	London	PROPN
head	head	to	to	Paris	Paris	PROPN
do	did	at	at	age	age	NOUN
put	put	in	in	tank	tank	NOUN
check	check	for	for	information	information	NOUN
read	Read	at	at	page	page	NOUN
go	go	to	to	Florida	Florida	PROPN
come	come	into	into	swing	swing	NOUN
begin	begin	in	in	1490	1490s	NOUN
end	ended	in	in	1527	1527	NUM
use	used	in	in	German	German	PROPN
go	going	to	to	UK	UK	PROPN
get	get	into	into	country	country	NOUN
wake	waked	in	in	home	home	NOUN
sit	sit	through	through	night	night	NOUN
transport	transported	to	to	show	shows	NOUN
transport	transported	from	from	CA	CA	PROPN
deliver	delivered	to	to	I	me	PRON
break	breaking	in	in	70'	70's	NOUN
count	counted	in	in	population	population	NOUN
have	had	at	at	time	time	NOUN
settle	settled	in	in	century	century	NOUN
keep	keeping	in	in	run	run	NOUN
keep	keeping	in	in	coop	coop	NOUN
put	put	in	in	middle	middle	NOUN
melt	melted	in	in	crucible	crucible	NOUN
fall	fell	in	in	love	love	NOUN
ask	ask	for	for	pet	pet	NOUN
come	coming	to	to	store	store	NOUN
whack	whack	against	against	surface	surface	NOUN
compete	competing	with	with	thousand	thousands	NOUN
see	saw	on	on	pet	pets	NOUN
find	find	in	in	Delhi	Delhi	PROPN
visit	visit	with	with	mate	mates	NOUN
find	find	for	for	rs	Rs	SYM
go	go	to	to	bathroom	bathroom	NOUN
go	go	in	in	there	there	ADV
apply	apply	for	for	certificate	certificate	NOUN
apply	apply	for	for	certificate	certificate	NOUN
go	go	to	to	hall	hall	NOUN
apply	applying	for	for	certificate	certificate	NOUN
send	send	for	for	it	it	PRON
move	moving	into	into	house	house	NOUN
put	put	in	in	room	room	NOUN
pee	peeing	on	on	thing	things	NOUN
locate	located	at	at	St.	St.	PROPN
go	went	with	with	Intrepid	Intrepid	PROPN
hold	hold	for	for	lap	lap	NOUN
stand	standing	on	on	edge	edge	NOUN
worry	worry	about	about	water	water	NOUN
hop	hop	in	in	bed	bed	NOUN
stay	stay	at	at	uni	uni	NOUN
live	living	in	in	Sydney	Sydney	PROPN
flee	fleeing	at	at	load	load	NOUN
put	putting	in	in	place	place	NOUN
go	go	off	off	food	food	NOUN
win	win	within	within	year	years	NOUN
take	take	across	across	border	borders	NOUN
hand	handed	to	to	he	him	PRON
offer	offered	as	as	item	items	NOUN
work	worked	for	for	I	me	PRON
place	place	under	under	belly	belly	NOUN
put	put	with	with	tourist	tourists	NOUN
get	get	in	in	mail	mail	NOUN
complain	complaining	about	about	death	deaths	NOUN
check	checked	in	in	way	way	NOUN
leave	left	without	without	shoe	shoe	NOUN
go	going	for	for	coffee	coffee	NOUN
ask	Asked	to	to	other	other	ADJ
have	have	in	in	head	head	NOUN
get	get	in	in	touch	touch	NOUN
explain	explain	to	to	I	me	PRON
go	went	to	to	Kobey	Kobey	PROPN
go	go	to	to	school	school	NOUN
go	went	from	from	scale	scale	NOUN
provide	provided	with	with	plenty	plenty	NOUN
live	live	through	through	night	nights	NOUN
go	go	into	into	store	store	NOUN
fill	fill	with	with	air	air	NOUN
call	called	with	with	answer	answer	NOUN
spend	spent	with	with	we	us	PRON
get	got	from	from	Pennysaver	Pennysaver	PROPN
call	called	on	on	Friday	Friday	PROPN
get	get	in	in	touch	touch	NOUN
expand	expanded	into	into	chain	chain	NOUN
work	worked	with	with	Shannon	Shannon	PROPN
do	doing	for	for	year	years	NOUN
provide	provided	from	from	advice	advice	NOUN
turn	turn	into	into	reality	reality	NOUN
move	moved	into	into	Apartments	Apartments	PROPN
execute	executed	with	with	perfection	perfection	NOUN
go	go	for	for	dinner	dinner	NOUN
go	Went	to	to	Lounge	Lounge	PROPN
throw	threw	for	for	wife	wife	NOUN
come	came	to	to	house	house	NOUN
ride	riding	on	on	rail	rails	NOUN
go	going	to	to	Nick	Nick	PROPN
tow	towed	for	for	I	me	PRON
refer	referred	to	to	they	them	PRON
refer	refer	to	to	friend	friends	NOUN
refer	referred	to	to	Book	Book	PROPN
wait	wait	in	in	line	line	NOUN
supply	supplied	to	to	I	me	PRON
work	worked	with	with	I	me	PRON
take	taken	of	of	girl	girl	NOUN
be	is	in	in	hand	hands	NOUN
live	living	in	in	condition	conditions	NOUN
live	lived	in	in	townhouse	townhouse	NOUN
change	changed	from	from	professional	professional	ADJ
be	were	on	on	deck	deck	NOUN
go	going	from	from	shop	shop	NOUN
hike	hiking	in	in	hill	hills	NOUN
live	lived	in	in	area	area	NOUN
arrive	arrived	at	at	Honda	Honda	PROPN
greet	greeted	by	by	manager	Manager	NOUN
speak	spoke	to	to	I	me	PRON
talk	talk	about	about	option	options	NOUN
need	needed	for	for	work	work	NOUN
see	see	in	in	future	future	NOUN
go	Go	on	on	holiday	holidays	NOUN
were	where	in	in	NJ	NJ	PROPN
arrive	arrived	on	on	time	time	NOUN
go	go	to	to	Nordstrom	Nordstrom	PROPN
go	go	to	to	District	District	PROPN
go	go	to	to	Dr.	Dr.	PROPN
wait	waiting	at	at	BNA	BNA	PROPN
go	Go	to	to	website	website	NOUN
care	care	about	about	service	services	NOUN
stay	stay	for	for	night	nights	NOUN
move	moved	from	from	site	site	NOUN
go	go	to	to	school	school	NOUN
look	looking	for	for	establishment	establishment	NOUN
talk	talk	to	to	I	me	PRON
work	worked	with	with	Andrew	Andrew	PROPN
do	did	for	for	family	family	NOUN
work	worked	for	for	label	label	NOUN
go	went	for	for	party	party	NOUN
go	going	to	to	Family	Family	PROPN
talk	talks	to	to	you	you	PRON
leave	leave	at	at	vet	vet	NOUN
book	booked	for	for	night	nights	NOUN
take	took	for	for	guy	guys	NOUN
work	worked	with	with	Ted	Ted	PROPN
refer	referred	to	to	I	me	PRON
make	make	for	for	lack	lack	NOUN
go	going	to	to	school	school	NOUN
sit	sitting	under	under	glass	glass	NOUN
visit	visited	on	on	7/26/08	7/26/08	NUM
sandwich	sandwich	between	between	layer	layers	NOUN
live	Living	on	on	campus	campus	NOUN
answer	answer	at	at	4:50	4:50	NUM
last	lasted	from	from	am	AM	NOUN
do	did	on	on	purpose	purpose	NOUN
report	reporting	to	to	bureau	bureau	NOUN
introduce	introduced	to	to	Bistro	Bistro	PROPN
travel	traveled	to	to	Canada	Canada	PROPN
travel	traveling	in	in	area	area	NOUN
pass	pass	to	to	staff	Staff	NOUN
do	done	on	on	Jeep	Jeep	PROPN
work	working	with	with	Ulistic	Ulistic	PROPN
book	booked	at	at	Sheraton	Sheraton	PROPN
get	get	in	in	door	door	NOUN
apologize	apologize	about	about	nothing	nothing	PRON
stand	standing	in	in	store	store	NOUN
leave	leave	with	with	liability	liability	NOUN
show	showed	at	at	home	home	NOUN
complain	complaining	on	on	September	September	PROPN
pay	pay	over	over	$	$	SYM
drop	dropped	to	to	star	star	NOUN
stick	stuck	around	around	corner	corner	NOUN
drive	driving	for	for	day	days	NOUN
collect	collecting	for	for	field	field	NOUN
apply	applied	to	to	field	fields	NOUN
appear	appears	to	to	I	me	PRON
lower	lowered	across	across	board	board	NOUN
publish	published	in	in	journal	journals	NOUN
use	using	in	in	classroom	classroom	NOUN
be	were	over	over	age	age	NOUN
include	included	in	in	study	studies	NOUN
respond	responded	to	to	item	item	NOUN
use	used	by	by	household	households	NOUN
use	used	from	from	March	March	PROPN
draw	drawn	in	in	interface	interface	NOUN
provide	provide	for	for	discussion	discussion	NOUN
adapt	adapted	to	to	screen	screen	NOUN
exemplify	exemplified	by	by	Game	Game	PROPN
frame	framed	in	in	society	society	NOUN
bear	born	in	in	Groningen	Groningen	PROPN
describe	described	by	by	W.	W.	PROPN
enter	entering	for	for	place	place	NOUN
plagiarize	plagiarized	from	from	book	book	NOUN
go	went	in	in	@card@	1724	NUM
publish	published	in	in	@card@	1724	NUM
do	done	on	on	subject	subject	NOUN
bear	born	in	in	Paris	Paris	PROPN
study	studied	at	at	Academy	Academy	PROPN
enlist	enlist	in	in	War	War	PROPN
arrive	arrived	in	in	@card@	1777	NUM
commission	commissioned	as	as	captain	captain	NOUN
change	changing	from	from	Pierre	Pierre	PROPN
come	came	to	to	colony	colonies	NOUN
wound	wounded	at	at	Siege	Siege	PROPN
become	became	at	at	surrender	surrender	NOUN
serve	served	on	on	staff	staff	NOUN
take	took	on	on	@card@	17	NUM
return	returned	to	to	mathematics	mathematics	NOUN
copy	copied	by	by	Galois	Galois	PROPN
imprison	imprisoned	with	with	Galois	Galois	PROPN
confirm	confirmed	as	as	Catholic	Catholic	PROPN
journey	journeying	on	on	foot	foot	NOUN
enlist	enlisted	at	at	Hamburg	Hamburg	PROPN
send	sent	on	on	mission	mission	NOUN
promote	promoted	to	to	major-general	major-general	NOUN
appoint	appointed	to	to	command	command	NOUN
decide	decided	in	in	favour	favour	NOUN
