VERB_lemma	VERB_lexical	Prep_lemma	Prep_lexical	PP_head_lemma	PP_head_lexical	PP_head_POS
incorporate	incorporates	in	in	way	way	NOUN
respond	respond	on	on	request	request	NOUN
talk	talk	about	about	this	his	DET
misstate	misstated	above	above	conversation	conversations	NOUN
provide	provided	within	within	timetable	timetable	NOUN
provide	provide	as	as	accuracy	accuracy	NOUN
track	tracking	for	for	business	businesses	NOUN
excel	excel	at	at	School	School	PROPN
talk	talk	in	in	future	future	NOUN
talk	talk	in	in	future	future	NOUN
work	work	with	with	CDEC	CDEC	PROPN
result	resulted	for	for	period	period	NOUN
forward	forward	with	with	cc	cc	NOUN
forward	forward	with	with	cc	cc	NOUN
bring	bring	in	in	City	City	PROPN
hold	held	at	at	Hotel	Hotel	PROPN
join	join	for	for	reception	reception	NOUN
go	went	at	at	meeting	meeting	NOUN
play	played	with	with	rule	rules	NOUN
discuss	discuss	on	on	am	am	NOUN
stop	stop	for	for	minute	minutes	NOUN
visit	visit	in	in	afternoon	afternoon	NOUN
establish	established	upon	upon	request	request	NOUN
approve	approve	after	after	p.m	p.m	NOUN
submit	submitted	via	via	EnronOnline	EnronOnline	PROPN
click	click	for	for	EnronOnLine	EnronOnLine	PROPN
click	click	for	for	type	Types	NOUN
set	set	as	as	division	Division	NOUN
break	broken	in	in	past	past	NOUN
work	work	on	on	response	response	NOUN
forward	forward	for	for	associate	associate	NOUN
allocate	allocate	on	on	contribution	contribution	NOUN
speak	spoke	about	about	this	this	PRON
work	work	on	on	study	study	NOUN
come	come	in	in	call	call	NOUN
exist	exist	for	for	office	offices	NOUN
schedule	scheduled	on	on	January	January	PROPN
provide	provide	upon	upon	request	request	NOUN
address	address	at	at	hearing	hearings	NOUN
forward	forwarded	via	via	email	email	NOUN
forward	forwarded	via	via	email	email	NOUN
give	give	in	in	exchange	exchange	NOUN
seem	seems	to	to	I	me	PRON
take	take	for	for	EGM	EGM	PROPN
take	take	for	for	EGM	EGM	PROPN
fit	fit	in	in	beginning	beginning	NOUN
have	have	with	with	customer	customers	NOUN
send	send	by	by	fax	fax	NOUN
talk	talk	about	about	it	it	PRON
refer	refers	for	for	process	process	NOUN
forward	forward	for	for	file	files	NOUN
have	have	because	because	event	events	NOUN
forward	forward	for	for	file	files	NOUN
depart	departing	to	to	Newark	Newark	PROPN
go	go	due	due	leg	leg	NOUN
acquire	acquiring	at	at	rate	rates	NOUN
work	worked	on	on	chromatograph	chromatograph	NOUN
have	have	because	because	event	events	NOUN
pay	pay	in	in	q1	Q1	NOUN
ask	asking	in	in	particular	particular	ADJ
sell	sell	because	because	cap	caps	NOUN
spend	spent	during	during	month	months	NOUN
address	Address	for	for	signature	signature	NOUN
send	sent	from	from	Patricia	Patricia	PROPN
meet	meet	for	for	day	day	NOUN
take	take	in	in	effort	effort	NOUN
hide	hiding	as	as	reason	reason	NOUN
think	Think	as	as	choir	choir	NOUN
live	live	with	with	planet	planet	NOUN
work	working	on	on	basis	basis	NOUN
invent	invented	by	by	Shrii	Shrii	PROPN
award	awarded	on	on	Monday	Monday	PROPN
fight	fighting	on	on	Island	Island	PROPN
access	accessing	from	from	computer	computer	NOUN
establish	established	for	for	DI	DI	PROPN
extend	extend	in	in	friendship	friendship	NOUN
know	know	in	in	search	search	NOUN
re-secure	re-secured	at	at	cost	cost	NOUN
reply	reply	to	to	number	numbers	NOUN
answer	Answered	on	on	Oct	Oct	PROPN
add	added	during	during	consideration	consideration	NOUN
reduce	reduces	due	due	capability	capability	NOUN
go	go	than	than	NASA	NASA	PROPN
spend	spending	over	over	year	years	NOUN
do	done	on	on	earth	earth	PROPN
thank	Thank	for	for	contribution	contribution	NOUN
fly	fly	for	for	treatment	treatments	NOUN
compete	competing	on	on	July	July	PROPN
stop	stopped	in	in	conflict	conflict	NOUN
put	put	by	by	government	government	NOUN
impose	impose	over	over	atrocity	atrocities	NOUN
expand	expanded	for	for	decade	decades	NOUN
lead	leading	in	in	city	cities	NOUN
drill	drilling	in	in	Sea	Sea	PROPN
withdraw	withdrawing	into	into	quietness	quietness	NOUN
bring	bring	from	from	experience	experience	NOUN
sit	sitting	on	on	top	top	NOUN
translate	translate	to	to	meaning	meaning	NOUN
think	Think	of	of	meaning	meaning	NOUN
email	email	in	in	time	time	NOUN
grow	grow	in	in	unit	unit	NOUN
stand	stand	in	in	life	life	NOUN
continue	continue	as	as	issue	issues	NOUN
graduate	graduated	from	from	undergraduate	undergraduate	NOUN
give	given	to	to	Congress	Congress	PROPN
use	used	in	in	relation	relation	NOUN
get	get	through	through	propaganda	propaganda	NOUN
hurtle	hurtling	on	on	mission	mission	NOUN
identify	identified	by	by	agency	agency	NOUN
beat	beat	in	in	effort	effort	NOUN
thwart	thwarted	over	over	range	range	NOUN
reach	reach	as	as	step	step	NOUN
circle	circle	before	before	return	return	NOUN
circle	circling	over	over	holiday	holidays	NOUN
get	get	in	in	front	front	NOUN
heat	heat	with	with	fire	fires	NOUN
appear	appear	on	on	day	day	NOUN
scrape	scraped	for	for	long	long	ADV
reimburse	reimbursed	with	with	dollar	dollar	NOUN
kill	killed	in	in	1943	1943	NUM
reduce	reduce	to	to	threatened	threatened	NOUN
find	found	from	from	home	home	NOUN
publish	published	on	on	record	records	NOUN
catch	caught	in	in	habitat	habitat	NOUN
increase	increased	in	in	year	years	NOUN
decline	decline	by	by	end	end	NOUN
sow	sown	with	with	nation	nations	NOUN
travel	traveling	to	to	England	England	PROPN
look	looking	in	in	Nashua	Nashua	PROPN
flow	flow	in	in	2005	2005	NUM
come	comes	in	in	dictionary	dictionary	NOUN
be	were	in	in	1590'	1590's	NOUN
hang	hung	at	at	Tyburn	Tyburn	PROPN
translate	translated	by	by	Tarsia	Tarsia	PROPN
look	look	at	at	man	man	NOUN
spread	spreading	over	over	land	land	NOUN
destroy	destroyed	because	because	insult	insult	NOUN
die	died	because	because	bruise	bruises	NOUN
speak	spoke	from	from	Liverpool	Liverpool	PROPN
act	acted	with	with	Sympathy	Sympathy	PROPN
make	make	at	at	hotel	hotel	NOUN
give	given	because	because	word	words	NOUN
delude	deluded	by	by	fact	fact	NOUN
use	used	due	due	popularity	popularity	NOUN
feel	felt	due	due	face	face	NOUN
sing	sings	in	in	film	film	NOUN
know	known	for	for	arrogance	arrogance	NOUN
kick	kicked	during	during	filming	filming	NOUN
go	going	after	after	separation	separation	NOUN
refer	refers	as	as	person	person	NOUN
make	made	due	due	despotism	despotism	NOUN
disguise	disguise	in	in	front	front	NOUN
begin	began	through	through	puppet	puppets	NOUN
execute	executed	from	from	Island	Island	PROPN
face	face	from	from	faction	factions	NOUN
issue	issued	in	in	December	December	PROPN
rip	ripped	in	in	1987	1987	NUM
deploy	deployed	with	with	soul	souls	NOUN
retaliate	retaliate	after	after	attack	attack	NOUN
purchase	purchase	over	over	year	years	NOUN
receive	receive	from	from	field	field	NOUN
run	running	to	to	China	China	PROPN
perceive	perceived	as	as	threat	threat	NOUN
add	added	between	between	1991	1991	NUM
devote	devoted	in	in	report	Report	NOUN
reduce	reduce	by	by	2012	2012	NUM
increase	increase	under	under	plan	plan	NOUN
receive	received	from	from	industry	industries	NOUN
announce	announced	on	on	Fridays	Fridays	PROPN
evacuate	evacuated	after	after	September	September	PROPN
fire	fired	between	between	mid-august	mid-August	NOUN
offer	offered	for	for	anyone	anyone	PRON
serve	serving	in	in	Iraq	Iraq	PROPN
make	made	between	between	2002	2002	NUM
project	projected	in	in	April	April	PROPN
equip	equipped	at	at	end	end	NOUN
allocate	allocated	in	in	round	round	NOUN
allocate	allocated	in	in	state	state	NOUN
allocate	allocated	in	in	City	City	PROPN
allocate	allocated	in	in	Haven	Haven	PROPN
survey	surveyed	in	in	2004	2004	NUM
receive	receive	for	for	unit	units	NOUN
arrive	arrive	by	by	sea	sea	NOUN
allocate	allocated	in	in	2003	2003	NUM
budget	budgeted	in	in	2005	2005	NUM
receive	received	as	as	result	result	NOUN
save	save	as	as	result	result	NOUN
save	saved	in	in	2003	2003	NUM
earn	earned	over	over	period	period	NOUN
monitor	monitored	in	in	ward	ward	NOUN
spend	spent	in	in	1949	1949	NUM
spend	spent	in	in	2002	2002	NUM
approve	approved	on	on	September	September	PROPN
approve	approved	on	on	September	September	PROPN
approve	approved	on	on	September	September	PROPN
approve	approved	on	on	October	October	PROPN
approve	approved	in	in	May	May	PROPN
spend	spent	as	as	April	April	PROPN
raise	raised	to	to	end	end	NOUN
raise	raised	as	as	March	March	PROPN
vote	voted	in	in	2000	2000	NUM
vote	voted	in	in	2000	2000	NUM
live	living	as	as	student	student	NOUN
live	live	as	as	part	part	NOUN
see	see	from	from	window	window	NOUN
lope	Lope	in	in	circle	circles	NOUN
train	trained	for	for	time	time	NOUN
make	Making	at	at	night	Night	NOUN
graduate	graduated	in	in	adn	adn	NOUN
go	go	on	on	sunday	sunday	NOUN
show	show	during	during	change	changes	NOUN
look	looking	to	to	menu	menu	NOUN
look	looked	for	for	look	look	NOUN
suffer	suffer	due	due	buildup	buildup	NOUN
get	get	to	to	montparnasse	montparnasse	PROPN
run	runs	to	to	montparnasse	montparnasse	PROPN
stay	Stay	until	until	station	station	NOUN
drop	drops	in	in	Paris	Paris	PROPN
stay	Stay	until	until	stop	stop	NOUN
get	Get	at	at	Opera	Opera	PROPN
take	Take	until	until	station	station	NOUN
go	go	from	from	Africa	Africa	PROPN
pop	pop	like	like	liver	liver	NOUN
gallop	galloping	like	like	that	that	PRON
build	built	under	under	shaft	shaft	NOUN
go	go	after	after	he	him	PRON
stay	stay	at	at	night	night	NOUN
text	text	to	to	states	states	PROPN
shift	shift	in	in	couple	couple	NOUN
go	go	in	in	min	mins	NOUN
resort	resort	with	with	bird	bird	NOUN
put	put	like	like	newspaper	newspaper	NOUN
launch	launch	as	as	part	part	NOUN
do	do	like	like	shopping	shopping	NOUN
send	sent	in	in	60	60s	NOUN
go	going	in	in	January	January	PROPN
holiday	holiday	since	since	earthquake	Earthquakes	NOUN
go	go	since	since	earthquake	earthquakes	NOUN
go	going	for	for	experience	experience	NOUN
get	get	by	by	bus	bus	NOUN
live	live	for	for	month	months	NOUN
head	head	without	without	doubt	doubt	NOUN
do	did	in	in	Champagne	Champagne	PROPN
put	put	for	for	day	days	NOUN
check	check	on	on	basis	basis	NOUN
read	Read	for	for	condition	conditions	NOUN
go	go	in	in	JANUARY	JANUARY	PROPN
come	come	until	until	end	end	NOUN
begin	begin	with	with	fresco	fresco	NOUN
end	ended	with	with	sacking	sacking	NOUN
use	used	in	in	century	century	NOUN
go	going	for	for	time	time	NOUN
get	get	for	for	month	months	NOUN
wake	waked	for	for	day	days	NOUN
sit	sit	with	with	remains	remains	NOUN
transport	transported	throughout	throughout	season	season	NOUN
transport	transported	to	to	WA	WA	PROPN
deliver	delivered	since	since	then	then	ADV
break	breaking	due	due	generation	generation	NOUN
count	counted	until	until	mid-80	mid-80s	NOUN
have	had	for	for	people	people	NOUN
settle	settled	by	by	immigrant	immigrants	NOUN
keep	keeping	with	with	chicken	chickens	NOUN
keep	keeping	at	at	night	night	NOUN
put	put	with	with	cap	cap	NOUN
melt	melted	with	with	torch	torch	NOUN
fall	fell	with	with	it	it	PRON
ask	ask	as	as	reward	reward	NOUN
come	coming	with	with	you	you	PRON
whack	whack	like	like	refrigerator	refrigerator	NOUN
compete	competing	for	for	place	place	NOUN
see	saw	on	on	tv	tv	NOUN
find	find	for	for	rs	rs	SYM
visit	visit	at	at	beginning	beginning	NOUN
find	find	in	in	city	cities	NOUN
go	go	in	in	cage	cages	NOUN
go	go	with	with	frame	frame	NOUN
apply	apply	in	in	canada	canada	PROPN
apply	apply	in	in	canada	canada	PROPN
go	go	within	within	day	days	NOUN
apply	applying	for	for	time	time	NOUN
send	send	at	at	time	time	NOUN
move	moving	outside	outside	town	town	NOUN
put	put	at	at	night	night	NOUN
pee	peeing	in	in	fear	fear	NOUN
locate	located	in	in	heart	heart	NOUN
go	went	as	as	part	part	NOUN
hold	hold	at	at	walk	walk	NOUN
stand	standing	on	on	ball	ball	NOUN
worry	worry	for	for	couple	couple	NOUN
hop	hop	with	with	she	her	PRON
stay	stay	for	for	long	long	ADV
live	living	on	on	salary	salary	NOUN
flee	fleeing	for	for	year	years	NOUN
put	putting	for	for	hour	hour	NOUN
go	go	in	in	summer	summer	NOUN
win	win	before	before	election	election	NOUN
take	take	in	in	Laos	Laos	PROPN
hand	handed	on	on	platter	platter	NOUN
offer	offered	for	for	sake	sake	NOUN
work	worked	with	with	parakeet	parakeets	NOUN
place	place	in	in	front	front	NOUN
put	put	along	along	way	way	NOUN
get	get	in	in	vial	vial	NOUN
complain	complaining	among	among	egg	eggs	NOUN
check	checked	at	at	activity	activities	NOUN
leave	left	for	for	week	WEEKS	NOUN
go	going	with	with	he	him	PRON
ask	Asked	on	on	date	date	NOUN
have	have	for	for	guy	guy	NOUN
get	get	with	with	group	group	NOUN
explain	explain	about	about	computer	computer	NOUN
go	went	on	on	Saturday	Saturday	PROPN
go	go	on	on	weekend	weekends	NOUN
go	went	to	to	0	0	NUM
provide	provided	over	over	call	call	NOUN
live	live	without	without	heat	heat	NOUN
go	go	for	for	something	something	PRON
fill	fill	for	for	free	free	ADJ
call	called	between	Btwn	5:30	5:30	NUM
spend	spent	during	during	quote	quote	NOUN
get	got	for	for	station	station	NOUN
call	called	at	at	12:30	12:30	NUM
get	get	with	with	manager	manager	NOUN
expand	expanded	in	in	80'	80's	NOUN
work	worked	for	for	year	years	NOUN
do	doing	due	due	hassle	hassle	NOUN
provide	provided	to	to	quality	quality	NOUN
turn	turn	for	for	home	home	NOUN
move	moved	in	in	2008	2008	NUM
execute	executed	in	in	hole	hole	NOUN
go	go	after	after	day	day	NOUN
go	Went	for	for	dinner	dinner	NOUN
throw	threw	at	at	Fraiser	Fraiser	PROPN
come	came	in	in	time	time	NOUN
ride	riding	around	around	turn	turns	NOUN
go	going	for	for	month	months	NOUN
tow	towed	to	to	destination	destination	NOUN
refer	referred	by	by	friend	friend	NOUN
refer	refer	because	because	job	job	NOUN
refer	referred	for	for	ton	ton	NOUN
wait	wait	at	at	Outback	Outback	PROPN
supply	supplied	over	over	year	years	NOUN
work	worked	in	in	setting	setting	NOUN
take	taken	for	for	year	years	NOUN
be	is	with	with	sitting	sitting	PROPN
live	living	in	in	Asia	Asia	PROPN
live	lived	for	for	year	years	NOUN
change	changed	to	to	rude	rude	ADJ
be	were	in	in	morning	morning	NOUN
go	going	to	to	shop	shop	NOUN
hike	hiking	in	in	May	May	PROPN
live	lived	for	for	year	years	NOUN
arrive	arrived	on	on	6/4/11	6/4/11	NUM
greet	greeted	in	in	manner	manner	NOUN
speak	spoke	on	on	visit	visit	NOUN
talk	talk	with	with	Dr.	Dr.	PROPN
need	needed	at	at	am	am	NOUN
see	see	under	under	circumstance	circumstances	NOUN
go	Go	for	for	bit	bit	NOUN
were	where	for	for	chiefs	chiefs	PROPN
arrive	arrived	at	at	am	am	NOUN
go	go	for	for	jeans	jeans	NOUN
go	go	for	for	service	service	NOUN
go	go	for	for	procedure	procedures	NOUN
wait	waiting	for	for	pickup	pickups	NOUN
go	Go	for	for	coupon	coupons	NOUN
care	care	about	about	money	money	NOUN
stay	stay	with	with	girlfriend	girlfriend	NOUN
move	moved	to	to	complex	complex	NOUN
go	go	in	in	area	area	NOUN
look	looking	for	for	dinner	dinner	NOUN
talk	talk	about	about	issue	issues	NOUN
work	worked	for	for	month	months	NOUN
do	did	in	in	time	time	NOUN
work	worked	in	in	1960'	1960's	NOUN
go	went	with	with	people	people	NOUN
go	going	for	for	number	number	NOUN
talk	talks	at	at	appointment	appointment	NOUN
leave	leave	for	for	day	days	NOUN
book	booked	in	in	Oct	Oct	PROPN
take	took	from	from	pm	pm	NOUN
work	worked	at	at	Decor	Decor	PROPN
refer	referred	by	by	friend	friend	NOUN
make	make	at	at	end	end	NOUN
go	going	in	in	Oxford	Oxford	PROPN
sit	sitting	in	in	front	front	NOUN
visit	visited	for	for	dinner	dinner	NOUN
sandwich	sandwich	for	for	32	32	NUM
live	Living	at	at	University	University	PROPN
answer	answer	on	on	Thursday	Thursday	PROPN
last	lasted	to	to	am	AM	NOUN
do	did	because	because	request	request	NOUN
report	reporting	for	for	relation	relations	NOUN
introduce	introduced	by	by	traveler	traveler	NOUN
travel	traveled	on	on	business	business	NOUN
travel	traveling	in	in	future	future	NOUN
pass	pass	for	for	hospitality	hospitality	NOUN
do	done	at	at	dealership	dealership	NOUN
work	working	for	for	month	months	NOUN
book	booked	with	with	number	number	NOUN
get	get	at	at	am	am	NOUN
apologize	apologize	for	for	minute	minutes	NOUN
stand	standing	for	for	minute	minutes	NOUN
leave	leave	at	at	end	end	NOUN
show	showed	minus	minus	piece	pieces	NOUN
complain	complaining	to	to	Furnishings	Furnishings	PROPN
pay	pay	for	for	something	something	PRON
drop	dropped	in	in	opinion	opinion	NOUN
stick	stuck	from	from	top	top	NOUN
drive	driving	with	with	lock	lock	NOUN
collect	collecting	in	in	hour	hours	NOUN
apply	applied	in	in	parallel	parallel	NOUN
appear	appears	despite	despite	fact	fact	NOUN
lower	lowered	as	as	result	result	NOUN
publish	published	on	on	occasion	occasions	NOUN
use	using	for	for	period	period	NOUN
be	were	at	at	time	time	NOUN
include	included	despite	despite	language	languages	NOUN
respond	responded	through	through	training	training	NOUN
use	used	in	in	Philippine	Philippines	PROPN
use	used	to	to	August	August	PROPN
draw	drawn	after	after	operation	operation	NOUN
provide	provide	with	with	view	view	NOUN
adapt	adapted	in	in	episode	episode	NOUN
exemplify	exemplified	through	through	study	study	NOUN
frame	framed	from	from	perspective	perspective	NOUN
bear	born	into	into	family	family	NOUN
describe	described	as	as	able	ablest	ADJ
enter	entering	in	in	contest	contest	NOUN
plagiarize	plagiarized	in	in	book	book	NOUN
go	went	as	as	professor	professor	NOUN
publish	published	with	with	help	help	NOUN
do	done	between	between	publication	publication	NOUN
bear	born	on	on	2	2	NUM
study	studied	at	at	Academy	Academy	PROPN
enlist	enlist	on	on	side	side	NOUN
arrive	arrived	at	at	age	age	NOUN
commission	commissioned	on	on	3	3	NUM
change	changing	to	to	Peter	Peter	PROPN
come	came	in	in	@card@	1777	NUM
wound	wounded	on	on	9	9	NUM
become	became	on	on	@card@	12	NUM
serve	served	for	for	remainder	remainder	NOUN
take	took	at	at	Lodge	Lodge	PROPN
return	returned	after	after	expulsion	expulsion	NOUN
copy	copied	with	with	portion	portions	NOUN
imprison	imprisoned	on	on	charge	charges	NOUN
confirm	confirmed	before	before	death	death	NOUN
journey	journeying	in	in	part	parts	NOUN
enlist	enlisted	into	into	service	service	NOUN
send	sent	to	to	England	England	PROPN
promote	promoted	in	in	@card@	1678	NUM
appoint	appointed	in	in	@card@	1679	NUM
decide	decided	against	against	Regent	Regent	PROPN
confide	confided	during	during	absence	absence	NOUN
