Language,position,diff,Mean,CI25,CI975
Serbian,en,1,64.72058823529412,47.06,79.41
Serbian,en,2-4,71.94512195121952,62.2,81.71
Serbian,en,5-6,93.32733333333333,80.0,100.0
Serbian,en,larger than 7,93.08724137931034,82.76,100.0
German,zh,1,49.78063884156729,48.34,51.21
German,zh,2-4,49.776881258941344,48.4,51.13
German,zh,5-6,51.602446043165465,48.41,54.78
German,zh,larger than 7,45.87153194765204,43.19,48.58
Chinese,zh,1,58.0428947368421,42.11,73.68
Chinese,zh,2-4,48.73829268292683,34.15,63.41
Chinese,zh,5-6,37.25,12.5,75.0
Chinese,zh,larger than 7,49.61666666666667,16.67,83.33
Polish,zh,1,56.270535714285714,47.32,65.18
Polish,zh,2-4,47.23861111111111,36.11,58.33
Polish,zh,5-6,63.74454545454545,36.36,90.91
Polish,zh,larger than 7,72.65545454545455,45.45,100.0
Italian,zh,1,37.84060606060606,25.76,50.0
Italian,zh,2-4,37.73798245614035,28.95,46.49
Italian,zh,5-6,49.89625,31.25,68.75
Italian,zh,larger than 7,39.46969696969697,27.27,51.52
Czech,en,1,62.8375519630485,59.58,66.05
Czech,en,2-4,74.20822857142858,71.31,77.03
Czech,en,5-6,87.62914691943128,82.94,91.94
Czech,en,larger than 7,92.33669398907104,89.62,95.08
Urdu,ja,1,51.201860465116276,40.7,61.63
Urdu,ja,2-4,48.69179487179487,37.18,60.26
Urdu,ja,5-6,33.37555555555556,11.11,55.56
Urdu,ja,larger than 7,42.064473684210526,26.32,57.89
Romanian,en,1,61.18201550387597,52.71,69.77
Romanian,en,2-4,75.18609137055837,69.04,81.22
Romanian,en,5-6,86.29098039215687,76.47,94.12
Romanian,en,larger than 7,92.44032258064516,87.1,96.77
Croatian,en,1,61.07083333333333,50.0,72.22
Croatian,en,2-4,76.99413461538461,69.23,84.62
Croatian,en,5-6,94.1629411764706,82.35,100.0
Croatian,en,larger than 7,84.02660714285715,73.21,92.86
Russian,zh,1,53.464779541446205,49.38,57.67
Russian,zh,2-4,54.827488584474885,50.23,59.59
Russian,zh,5-6,61.58307692307692,51.28,71.79
Russian,zh,larger than 7,64.86851063829788,55.32,74.47
Catalan,en,1,56.27721854304636,48.34,64.24
Catalan,en,2-4,69.7854954954955,63.96,75.68
Catalan,en,5-6,77.4130985915493,67.61,87.32
Catalan,en,larger than 7,91.32489130434783,86.96,95.11
Dutch,zh,1,59.47331578947369,52.63,66.32
Dutch,zh,2-4,54.738157894736844,47.89,62.11
Dutch,zh,5-6,66.70844444444444,53.33,80.0
Dutch,zh,larger than 7,69.00857142857143,54.76,83.33
French,zh,1,39.9508,20.0,60.0
French,zh,2-4,45.81979166666667,31.25,60.42
French,zh,5-6,35.3864705882353,11.76,58.82
French,zh,larger than 7,37.06314285714286,20.0,54.29
Arabic,en,1,55.73744186046512,45.35,66.28
Arabic,en,2-4,75.74942196531792,69.36,82.08
Arabic,en,5-6,83.3665,73.33,91.67
Arabic,en,larger than 7,94.78867052023121,91.33,97.69
Polish,en,1,73.8646357615894,68.87,78.48
Polish,en,2-4,92.98140350877193,89.47,96.05
Polish,en,5-6,97.44564102564102,92.31,100.0
Polish,en,larger than 7,100.0,100.0,100.0
Italian,en,1,62.26354401805869,57.79,66.59
Italian,en,2-4,74.59038404726735,71.34,77.84
Italian,en,5-6,86.2742741935484,81.85,90.32
Italian,en,larger than 7,94.00521818181818,92.0,96.0
Czech,zh,1,45.50236559139785,41.4,49.64
Czech,zh,2-4,52.78707317073171,48.12,57.21
Czech,zh,5-6,61.324625,51.25,71.25
Czech,zh,larger than 7,59.425054945054946,49.45,69.23
Russian,en,1,70.6040192926045,67.04,74.12
Russian,en,2-4,85.37785822021117,82.65,87.93
Russian,en,5-6,86.80165562913908,81.46,92.05
Russian,en,larger than 7,92.57560311284047,89.11,95.72
Catalan,zh,1,33.32925925925926,14.81,51.85
Catalan,zh,2-4,28.25673913043478,15.22,41.3
Catalan,zh,5-6,28.6,0.0,57.14
Catalan,zh,larger than 7,43.436521739130434,21.74,65.22
Croatian,zh,1,52.14458333333333,37.5,66.67
Croatian,zh,2-4,49.86875,35.0,65.0
Croatian,zh,5-6,38.426923076923075,15.38,61.54
Croatian,zh,larger than 7,78.68928571428572,57.14,100.0
Norwegian,en,1,59.52598240469208,54.25,64.81
Norwegian,en,2-4,74.0315594059406,69.8,78.22
Norwegian,en,5-6,85.2296590909091,77.27,92.05
Norwegian,en,larger than 7,89.75058394160584,84.67,94.89
Romanian,zh,1,50.083333333333336,27.78,72.22
Romanian,zh,2-4,28.0856,12.0,48.0
Romanian,zh,5-6,50.1925,0.0,100.0
Romanian,zh,larger than 7,33.46333333333334,0.0,100.0
French,en,1,61.24603603603604,55.86,66.37
French,en,2-4,67.21207026348809,63.99,70.51
French,en,5-6,73.55789272030651,68.2,78.93
French,en,larger than 7,90.34221441124781,87.87,92.62
Persian,zh,1,58.27642241379311,51.72,64.66
Persian,zh,2-4,55.77698245614035,49.82,61.4
Persian,zh,5-6,53.29,42.67,64.0
Persian,zh,larger than 7,56.26210084033613,47.06,65.55
Indonesian,en,1,63.963370786516855,53.93,74.16
Indonesian,en,2-4,68.40598290598291,59.83,76.92
Indonesian,en,5-6,73.78631578947369,52.63,94.74
Indonesian,en,larger than 7,86.6465,76.67,95.0
Greek,en,1,57.71153846153846,38.46,76.92
Greek,en,2-4,74.97461538461539,61.54,86.54
Greek,en,5-6,100.0,100.0,100.0
Greek,en,larger than 7,96.0116,88.0,100.0
Dutch,en,1,59.296186440677964,50.0,67.8
Dutch,en,2-4,63.56916083916084,55.24,71.33
Dutch,en,5-6,71.7871875,56.25,87.5
Dutch,en,larger than 7,88.40116279069767,81.4,94.19
